step,lane_1,lane_2,lane_3,lane_4
144,65.7881,61.91515,60.315395,51.072784
145,64.504005,64.817116,66.46024,53.910717
146,65.11314,64.48669,66.602806,53.138485
147,63.20746,65.05336,66.33582,53.16365
148,64.22781,65.22713,67.0657,52.36872
149,62.484787,64.869385,67.87119,53.471622
150,63.45898,64.72946,67.08795,53.30953
151,62.905346,64.2578,64.9609,52.301834
152,47.76931,64.89332,66.63714,52.30173
153,49.301235,65.7407,67.39568,51.67374
154,52.99579,62.529457,66.512695,28.334166
155,63.751198,65.7671,69.12124,22.060509
156,61.086338,64.72159,66.55956,20.151749
157,63.097443,63.564003,67.78604,18.481937
158,61.83873,64.92103,68.48603,29.271263
159,48.84887,64.706314,66.57417,35.969803
160,34.62169,63.987354,67.4284,38.440807
161,40.649803,64.662506,68.48481,45.47591
162,46.957783,65.49493,68.70178,49.695274
163,61.05683,64.08946,67.97207,37.368263
164,63.416187,59.653084,62.1729,18.71024
165,65.66604,65.32898,68.13141,20.401175
166,65.26749,64.13346,67.272644,14.507867
167,67.23389,66.52289,68.05714,23.50462
168,62.18991,64.649956,66.19966,26.902561
169,67.86483,65.64263,67.684525,24.661165
170,66.95189,65.51585,67.698944,21.144659
171,65.17103,66.088875,68.37035,18.080494
172,66.51227,67.30607,68.47411,24.472769
173,67.852356,67.22439,68.37641,34.478863
174,68.362564,67.75534,67.16288,46.71607
175,67.16139,66.39573,66.29998,49.439495
176,67.83775,67.58898,67.327286,51.575317
177,68.21719,67.6831,67.26044,51.61336
178,68.24279,68.23529,67.973564,53.82045
179,68.96473,68.10617,67.42748,54.653893
180,69.35905,67.78942,67.74509,56.141483
181,69.18008,68.01322,67.82699,57.68604
182,68.402534,67.61643,67.66538,53.137028
183,69.41687,68.10038,67.27354,52.196693
184,67.907196,68.369354,67.46653,54.247467
185,68.20549,67.5192,66.52277,55.49992
186,67.527885,67.668106,66.97833,55.906967
187,69.097466,67.26601,67.760284,56.279892
188,67.97986,67.29292,67.23457,56.50165
189,67.38487,67.379196,67.46486,55.53402
190,68.67624,67.14336,67.17224,56.4916
191,64.70987,60.871304,67.991684,57.82635
192,67.86276,65.69491,69.55814,57.981625
193,66.62613,65.79717,68.201416,58.016357
194,67.15177,66.62903,67.92169,56.89943
195,68.47324,67.02352,67.8601,57.15681
196,67.47883,66.926315,67.75266,57.9941
197,66.77481,66.97844,68.0415,56.8939
198,67.07449,66.28579,67.67404,57.18794
199,66.28353,67.15838,67.09271,59.234005
200,66.39005,63.8011,67.06809,53.952187
